date,temperature_2m
2025-02-09 11:00:00+00:00,17.2465
2025-02-09 12:00:00+00:00,16.5965
2025-02-09 13:00:00+00:00,17.6465
2025-02-09 14:00:00+00:00,15.1965
2025-02-09 15:00:00+00:00,15.6465
2025-02-09 16:00:00+00:00,17.6965
2025-02-09 17:00:00+00:00,18.4965
2025-02-09 18:00:00+00:00,19.8965
2025-02-09 19:00:00+00:00,20.3965
2025-02-09 20:00:00+00:00,21.0465
2025-02-09 21:00:00+00:00,21.6965
2025-02-09 22:00:00+00:00,21.3465
2025-02-09 23:00:00+00:00,19.6465
2025-02-10 00:00:00+00:00,16.5965
2025-02-10 01:00:00+00:00,16.8465
2025-02-10 02:00:00+00:00,15.1965
2025-02-10 03:00:00+00:00,13.6965
2025-02-10 04:00:00+00:00,12.2465
2025-02-10 05:00:00+00:00,11.2465
2025-02-10 06:00:00+00:00,11.0965
2025-02-10 07:00:00+00:00,10.4965
2025-02-10 08:00:00+00:00,9.2965
2025-02-10 09:00:00+00:00,8.3465
2025-02-10 10:00:00+00:00,7.6965
2025-02-10 11:00:00+00:00,7.3965
2025-02-10 12:00:00+00:00,7.1965
2025-02-10 13:00:00+00:00,6.6465
2025-02-10 14:00:00+00:00,7.3965
2025-02-10 15:00:00+00:00,8.6465
2025-02-10 16:00:00+00:00,9.7465
2025-02-10 17:00:00+00:00,11.4965
2025-02-10 18:00:00+00:00,12.8465
2025-02-10 19:00:00+00:00,13.4465
2025-02-10 20:00:00+00:00,14.3465
2025-02-10 21:00:00+00:00,15.0465
2025-02-10 22:00:00+00:00,15.2465
2025-02-10 23:00:00+00:00,14.5965
2025-02-11 00:00:00+00:00,13.4465
2025-02-11 01:00:00+00:00,12.0965
2025-02-11 02:00:00+00:00,10.9965
2025-02-11 03:00:00+00:00,10.0465
2025-02-11 04:00:00+00:00,9.1965
2025-02-11 05:00:00+00:00,8.8465
2025-02-11 06:00:00+00:00,8.5465
2025-02-11 07:00:00+00:00,8.0965
2025-02-11 08:00:00+00:00,7.8964996
2025-02-11 09:00:00+00:00,7.5965
2025-02-11 10:00:00+00:00,7.2965
2025-02-11 11:00:00+00:00,7.0465
2025-02-11 12:00:00+00:00,6.8465
2025-02-11 13:00:00+00:00,6.4465
2025-02-11 14:00:00+00:00,6.5465
2025-02-11 15:00:00+00:00,6.2465
2025-02-11 16:00:00+00:00,7.3465
2025-02-11 17:00:00+00:00,7.3965
2025-02-11 18:00:00+00:00,7.7965
2025-02-11 19:00:00+00:00,9.2465
2025-02-11 20:00:00+00:00,9.2465
2025-02-11 21:00:00+00:00,9.2965
2025-02-11 22:00:00+00:00,9.1465
2025-02-11 23:00:00+00:00,8.8465
2025-02-12 00:00:00+00:00,8.7465
2025-02-12 01:00:00+00:00,4.2465
2025-02-12 02:00:00+00:00,4.2465
2025-02-12 03:00:00+00:00,4.0465
2025-02-12 04:00:00+00:00,4.0465
2025-02-12 05:00:00+00:00,3.7965002
2025-02-12 06:00:00+00:00,4.0465
2025-02-12 07:00:00+00:00,4.3965
2025-02-12 08:00:00+00:00,4.9965
2025-02-12 09:00:00+00:00,5.3465
2025-02-12 10:00:00+00:00,5.4465
2025-02-12 11:00:00+00:00,5.6965
2025-02-12 12:00:00+00:00,5.7965
2025-02-12 13:00:00+00:00,3.4965
2025-02-12 14:00:00+00:00,3.9965
2025-02-12 15:00:00+00:00,4.3965
2025-02-12 16:00:00+00:00,4.7465
2025-02-12 17:00:00+00:00,5.8465
2025-02-12 18:00:00+00:00,5.8965
2025-02-12 19:00:00+00:00,5.8965
2025-02-12 20:00:00+00:00,6.6465
2025-02-12 21:00:00+00:00,7.9465
2025-02-12 22:00:00+00:00,7.8964996
2025-02-12 23:00:00+00:00,7.4965
2025-02-13 00:00:00+00:00,7.2465
2025-02-13 01:00:00+00:00,4.9465
2025-02-13 02:00:00+00:00,4.9465
2025-02-13 03:00:00+00:00,5.0965
2025-02-13 04:00:00+00:00,5.5965
2025-02-13 05:00:00+00:00,6.2965
2025-02-13 06:00:00+00:00,7.9465
2025-02-13 07:00:00+00:00,9.8465
2025-02-13 08:00:00+00:00,13.3465
2025-02-13 09:00:00+00:00,13.7465
2025-02-13 10:00:00+00:00,15.9965
2025-02-13 11:00:00+00:00,15.8965
2025-02-13 12:00:00+00:00,13.8465
2025-02-13 13:00:00+00:00,6.3965
2025-02-13 14:00:00+00:00,9.3465
2025-02-13 15:00:00+00:00,10.3965
2025-02-13 16:00:00+00:00,11.4965
2025-02-13 17:00:00+00:00,12.3465
2025-02-13 18:00:00+00:00,12.9465
2025-02-13 19:00:00+00:00,13.4965
2025-02-13 20:00:00+00:00,14.0965
2025-02-13 21:00:00+00:00,13.6465
2025-02-13 22:00:00+00:00,12.1465
2025-02-13 23:00:00+00:00,9.9465
2025-02-14 00:00:00+00:00,7.9465
2025-02-14 01:00:00+00:00,5.9965
2025-02-14 02:00:00+00:00,4.3965
2025-02-14 03:00:00+00:00,3.1465
2025-02-14 04:00:00+00:00,2.2465
2025-02-14 05:00:00+00:00,1.4965
2025-02-14 06:00:00+00:00,0.84650004
2025-02-14 07:00:00+00:00,0.19649997
2025-02-14 08:00:00+00:00,-0.3535
2025-02-14 09:00:00+00:00,-1.0535
